DID,TS,SID,FID,VR,VY,VB,AVG_VLN,VRY,VYB,VBR,AVG_VLL,IR,IY,IB,AVG_I,R_PF,Y_PF,B_PF,AVG_PF,FREQUENCY,R_KW,Y_KW,B_KW,TOTAL_KW,R_KVA,Y_KVA,B_KVA,TOTAL_KVA,R_KVAR,Y_KVAR,B_KVAR,TOTAL_KVAR,R_THD_V,Y_THD_V,B_THD_V,R_THD_I,Y_THD_I,B_THD_I,RSSI,KWH,KVAH,KVARH
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,236.4073087,232.369351,230.0381057,259.9441192,432.7743767,472.401253,319.863591,413.5246375,102.9931112,97.8285535,17.48798629,101.6821853,0.655443691,0.906785601,0.908084246,0.835299949,49.47036644,5.381599369,25.54298391,8.872806722,59.91195683,18.63380993,20.00039461,7.127776235,69.70857238,26.69183932,5.94658544,3.25183614,34.69568867,6.328599527,3.022180844,6.587111713,9.180186479,6.417937602,7.903232043,-30.60870184,1.046663616,1.624991522,0.793610838
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,240.0862212,239.5414059,179.6637706,237.2837248,440.476447,422.4573591,455.643723,400.6258795,33.30465341,10.21857504,97.29735878,98.02325724,0.371924238,0.914304216,0.897423529,0.989165265,49.85062165,23.74939962,6.709170903,4.872865115,69.95782605,23.02126811,12.22496161,19.0301398,71.34881326,15.82387315,2.205459469,5.652378984,10.63774329,11.96385554,3.054234088,3.832687897,29.59973033,7.626151124,6.228259667,-80.27070694,1.240990911,1.82318267,0.823160125
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,212.3962507,258.8828631,190.6543062,225.2718675,517.2670704,311.0198935,453.6972255,451.5952268,33.7549102,93.60113895,103.7487404,90.38546448,0.739447661,0.971938278,0.836725168,0.907802311,49.81150432,24.67785152,11.04165751,4.776138804,26.6201152,10.13365524,9.301509645,27.03371617,7.966787918,9.409148014,9.216913642,27.10808017,24.75085464,3.231920578,12.15279064,6.320388912,17.25493323,7.089765788,6.664712578,-31.91040709,1.314935675,1.845312637,0.891912499
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,227.3292769,259.5408058,217.2597429,228.2285133,377.1927629,485.638827,419.6535636,413.6460609,101.609417,109.2436979,95.44367488,92.76672077,0.521880331,0.829117118,0.993737529,0.800426857,50.39037158,13.50324089,1.143167634,6.654571407,51.85028699,1.266120454,23.72284186,28.80484874,41.57018567,0.062700328,16.7127766,11.40621442,46.98947433,3.264982746,2.568391797,1.056643082,0.809999923,13.19078943,8.447398002,-76.89435729,1.45896425,1.960785375,1.022438816
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,236.9862191,256.0868394,216.1987497,244.9561293,374.33541,389.3973934,381.2834979,421.752466,105.3170088,109.7630189,82.52414922,90.64196715,0.96847823,0.932746836,0.857183213,0.835326959,51.16190843,21.33865884,5.866418455,15.33805511,24.49195384,5.426457961,6.371384519,2.390818922,82.36881948,23.14607669,10.94832097,6.406245958,42.52569133,13.59133271,5.84479378,4.701907228,7.972578375,2.138274636,7.212756698,-30.64329198,1.526997455,2.189587651,1.140565737
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,254.75918,224.2686068,257.5509875,248.996006,410.3429051,425.2836868,411.0803481,409.6903392,100.4918648,102.0973444,19.85596219,94.15756708,0.929749906,0.910546489,0.891426839,0.91195354,50.33656687,11.61473136,7.592352743,14.53055306,35.94207786,5.960937573,4.558987814,9.925651138,95.21564508,11.14419749,15.32400353,19.70127911,22.31528882,3.156859382,13.24755662,14.57406951,3.166607075,7.286411943,4.768598909,-36.56115228,1.62683656,2.454075554,1.20255265
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,182.834435,244.2127103,282.0043044,223.3503096,403.828612,414.2496283,426.0000035,386.3336918,11.99125173,108.3287543,95.96413338,106.9319589,0.961803013,0.88192946,0.860131059,0.958756877,49.94830216,21.84986715,12.69820444,15.5863009,57.97197967,18.42808411,20.05928108,0.847159841,13.04061727,9.644072113,13.18509136,25.19797299,19.39473576,1.989688242,1.802290167,8.86231405,19.96472717,24.51558192,2.649622115,-34.56368837,1.787869837,2.490299491,1.256426916
E_AA_Z_B_X_P0005_D4,9/20/2025 6:02,17,V1.0,256.5937779,224.7400612,223.9327622,187.7265567,437.5861214,293.8223277,429.7632588,506.5576835,100.5965118,148.2624202,104.0147312,107.0282043,0.917677852,0.899064147,0.971477826,0.924237607,49.5534077,13.36192209,17.56834362,10.5850812,14.36589006,20.21026817,21.40898566,1.205712242,51.10028289,13.75859661,1.188696876,4.81688983,40.57023215,0.519012915,3.447012771,3.860618701,21.82184687,12.70920047,8.879855587,-31.16490855,1.827775087,2.632244721,1.369122005
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,243.2285641,197.5733103,234.6614447,231.7387908,346.3499303,401.833711,405.471959,421.3143259,99.62725476,103.8056261,103.9518484,103.9305635,0.852130251,0.867871705,0.304488906,0.981443398,49.97273892,14.56282276,18.11149754,21.51471528,33.0975519,4.758178041,30.50569429,26.12274635,3.579660987,18.19621551,3.513934055,1.455233541,12.06003898,2.946202777,0.644868394,4.590136146,0.899970024,27.11795269,21.86922573,-33.34824481,1.919712732,2.642188224,1.402622114
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,216.2576033,225.2419593,239.1186168,223.3959527,448.2808814,306.5158295,407.6646688,407.254951,22.234635,104.9544274,149.6339325,1.033636949,0.988898915,0.881815548,0.968805438,0.919444808,50.22249338,14.7001482,0.551961835,15.24171198,34.85750519,28.95122882,21.04897441,14.32839241,75.68024303,24.33712533,13.71001831,3.725492405,39.64116659,0.420938561,6.008209711,1.759501465,5.690085436,10.22328728,13.26042097,-88.99846368,2.016539135,2.852411121,1.512736465
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,231.2049107,220.3071225,243.9967635,257.8191404,389.9112855,420.2661381,422.1436456,413.6667797,92.24930893,94.15360887,109.7320917,108.4971566,0.528968888,0.978529978,0.944396543,0.938316427,50.10655968,24.22607908,21.51686602,9.049514224,28.87121823,14.30766096,19.25943606,1.714539153,45.79464238,11.58532007,9.331516616,14.87818704,28.14209398,3.526462389,13.78817376,1.584224182,0.051094003,2.266493088,4.370933106,-80.41899094,2.096736963,2.979618461,1.590908949
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,183.9393168,255.905849,238.3210148,283.103294,396.5925707,299.8625292,392.9761993,408.791131,98.75684068,104.5072863,107.8104443,98.48843165,0.945962856,0.923817443,0.954289681,0.90109243,50.11382904,15.46969886,3.293062754,27.24703229,70.10848133,20.2464566,24.04431763,30.66268233,55.21865278,2.571624513,17.71496805,7.639091441,36.79456429,1.236830097,0.334858733,0.594273007,11.29103113,13.70155044,6.487744696,-85.36566632,2.291482745,3.133003608,1.693116072
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,247.4944945,255.8587889,219.4032668,233.4623257,485.2423135,417.2770719,404.3248434,434.0211292,96.40657303,26.77630876,109.6380751,91.14659432,0.984566271,0.520923911,0.921261814,0.921165982,49.65411056,7.153411704,15.06366831,25.21380664,35.55745999,9.832391568,29.28465427,2.782786838,5.257796524,25.12717831,5.897201026,13.63110285,27.66277071,1.917010892,4.750977634,5.798188837,4.195064947,9.670108196,4.502207458,-84.79567099,2.390253467,3.147608598,1.769957101
E_AA_Z_B_X_P0005_D4,9/20/2025 6:03,17,V1.0,269.2901771,241.7229925,259.8254185,183.8837466,289.153581,436.2331645,440.2831633,419.4774235,97.88036908,99.9558515,16.66646914,105.3490532,0.9970335,0.937678994,0.464696682,0.886699265,49.18203157,25.51117791,20.84503404,0.937854886,30.11421593,14.37724476,29.29229125,20.65152132,58.85998709,10.68498596,2.371616997,4.152712296,37.53373544,5.109169341,4.521858462,2.515609996,4.755660146,1.53081161,8.000394822,-56.10183289,2.473904067,3.311108562,1.874217478
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,228.0210783,235.3231155,228.3050506,221.9976246,398.9194862,396.9674607,392.0391574,406.6143735,101.2427517,107.7921705,105.5860445,109.9602368,0.872899795,0.965836775,0.873106015,0.571027976,49.74366764,20.75616305,10.6830115,10.80414218,12.27004007,28.28207343,17.67406448,17.7986181,17.26525522,14.58939722,2.859126279,15.74796509,16.28979094,7.607044251,4.890780791,5.597107279,13.75326847,6.803434434,1.936683393,-84.80232824,2.507987511,3.359067604,1.919466897
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,234.3815247,190.2450397,260.8261998,221.0214921,415.9406507,427.0008255,302.4492492,420.8931254,93.38148938,93.33763764,106.0111095,90.85095166,0.933154533,0.93874361,0.941251111,0.93351696,50.01072416,19.16575962,8.806698828,3.497181158,61.53237739,29.06383427,24.26449259,17.76972246,61.45609929,0.456732695,4.835755126,12.44062391,51.10545024,9.372716061,4.364858933,9.695153826,19.35641021,21.34630287,8.124769355,-84.26491125,2.678910782,3.529778991,2.061426481
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,186.4950558,259.9390226,246.6334285,244.2892963,446.5367574,454.2374237,516.9279781,405.592874,92.31179376,99.59370933,75.19353296,100.9309038,0.391237625,0.887598846,0.909998372,0.809129465,49.69650529,26.92907195,0.142582046,17.94786994,49.26466614,6.395120913,28.7669914,20.51428073,6.269512648,5.655045719,10.72010168,18.18719285,18.8415218,5.734011924,4.418541847,4.536738603,14.80786418,23.39688298,7.138379549,-39.27482614,2.815757077,3.547194304,2.113764042
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,209.5511661,256.0445015,228.5544944,241.006968,425.6806925,302.2354757,420.1666115,419.1420555,99.87344853,99.10517519,99.31171972,101.5769591,0.575992307,0.921172317,0.940228286,0.407892342,50.27633208,21.91457213,25.81613187,4.818762865,13.00578071,13.7430798,16.00829456,11.4282303,40.10043349,6.70937465,14.39323014,1.418441145,34.50952323,7.122989636,4.021640112,0.700405553,5.925228171,7.99536505,9.102624367,-33.95115788,2.851884245,3.658584397,2.209623828
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,203.8558591,258.8848952,212.6302334,255.7659063,407.2802183,357.9053303,423.7896707,408.4530546,100.1495374,126.1911303,95.03267139,96.68654852,0.810311246,0.706515064,0.870735914,0.956108047,49.6543697,23.42949007,3.05340207,20.87954262,42.3648453,4.335791118,3.491358856,1.686862395,31.81199372,4.359890078,9.853058508,13.32612892,26.69403101,2.031647171,1.272728095,5.16015015,3.053238565,1.005023774,20.72404784,-69.30522709,2.969564371,3.746951046,2.283773914
E_AA_Z_B_X_P0005_D4,9/20/2025 6:04,17,V1.0,238.356042,216.4006511,258.7774166,220.1453269,454.5409625,407.7615632,486.238817,457.8174141,108.1332946,95.47665543,92.82037691,103.5110523,0.886097956,0.884459234,0.807763883,0.930338321,51.42684138,16.87547842,9.300124144,5.017134011,14.13076359,30.45322647,4.846327457,2.67655839,42.89250912,25.58899861,18.27516707,11.61490231,28.80784481,0.895494124,3.860376216,6.930644873,29.40470758,15.38331959,8.508391962,-85.71584434,3.008816492,3.866096905,2.363795706
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,244.2589331,275.2214646,248.9286033,237.5145116,398.0556803,394.3390324,406.8501155,414.7010245,105.7806995,100.6349292,92.90472574,99.18016995,0.933623793,0.878170766,0.909861186,0.360485534,50.83949705,3.568015701,16.60545941,10.8082204,24.22319354,0.169728004,2.180952452,16.78351744,48.30931183,13.43593763,4.487349089,10.16025157,0.992905002,4.315725804,0.673210726,2.411975871,5.053590581,9.138643524,29.5002937,-69.80045621,3.076103141,4.000289438,2.366553775
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,225.3961104,255.6333943,167.8409309,243.7606978,449.6576553,295.3161121,399.1111506,415.37751,106.4204707,31.65826456,96.3901788,109.5716696,0.975912343,0.680074336,0.867165227,0.997417752,51.26284696,13.07396701,0.209487777,4.78002628,54.79566119,19.07978474,29.44917863,21.64105486,7.769662749,6.461970511,7.51303554,0.225718583,11.1771243,7.63200244,9.262253005,2.92031859,17.58717736,5.54094659,2.73255148,-55.78948351,3.228313311,4.021871834,2.397601343
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,171.0887815,239.4343844,236.8866783,248.5723248,450.0876539,428.0910952,413.6960008,421.07217,97.25423691,92.30231424,101.0012312,96.5198089,0.939063226,0.90651093,0.316082487,0.978322816,49.5692441,16.71839994,6.452935176,23.16388551,41.4008693,10.17917747,9.009916476,28.27593416,16.08731522,3.535823206,0.598614747,17.87701929,46.83505337,8.401127082,3.371948039,4.412365659,1.37950015,1.364958494,7.447285633,-38.89755989,3.343315726,4.066558821,2.527698713
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,248.9375657,258.0766894,264.9932671,235.6310988,421.7791081,374.6813625,283.4938383,428.2278911,95.16483399,99.48247104,13.84476136,98.63644823,0.882712375,0.887946036,0.362345481,0.978631814,51.52212284,13.97604264,0.665027421,5.237832457,53.95601079,17.10642152,14.42812511,17.55413722,39.71181228,14.46562595,0.291442675,11.98737416,13.22288115,5.447092861,2.427986181,7.570393406,17.90925794,21.06350223,3.40380973,-30.18286254,3.493193533,4.176869411,2.564428938
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,231.1390904,252.3797842,234.5846054,247.7221971,389.6972168,401.9259677,441.3274535,414.671746,94.31705575,101.2839841,98.45458061,92.48371126,0.942828005,0.949920637,0.955741365,0.684352156,50.0645447,20.53980378,29.18815323,14.33881302,27.04335803,20.93135176,6.123403428,4.143044807,31.54922504,7.42082818,10.69350663,16.56737881,70.61206072,5.844937255,1.872971952,5.995074394,8.87176137,9.819171806,7.814429601,-85.50233926,3.568313972,4.264506147,2.760573552
E_AA_Z_B_X_P0005_D4,9/20/2025 6:05,17,V1.0,192.2012325,240.6467968,234.1566375,261.5101978,447.485623,404.5542125,419.6495838,416.7304179,103.2556763,98.02522153,96.19110011,26.60274905,0.852359337,0.809493288,0.942870398,0.965546656,49.56277232,20.26122166,24.95960351,22.26158759,5.879461917,22.77708351,29.70240618,2.640051671,86.2910846,18.88060722,2.070278475,7.515009252,39.49622707,5.543981192,0.520335711,7.354497401,13.27788425,17.91942847,2.990188723,-31.06217604,3.584645811,4.504203604,2.870285293
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,280.2814601,271.4828031,169.0847495,227.9062321,460.7474454,354.1113681,414.4451031,428.0578909,134.8227413,103.5388287,95.44422113,48.62538858,0.96024885,0.856897771,0.931455471,0.836212774,50.46259827,0.768786653,18.20617534,25.93218256,21.55959752,30.12093865,20.87147141,7.340773539,37.23596422,8.105100048,4.860298318,15.93393519,20.8967002,1.419203724,2.108322396,4.805920902,12.14693205,9.558238765,5.636374303,-81.33666398,3.644533582,4.607636838,2.928331683
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,179.4448637,259.1555667,238.5659538,232.5661604,417.1101843,392.65909,426.2857486,403.0562488,94.50156645,75.99786533,103.4866518,107.8643504,0.888514399,0.997663836,0.858681043,0.828363807,49.00448682,2.890270586,16.65416132,24.90902325,24.58038156,17.87787471,31.05720794,29.60892481,85.53860509,4.400419125,28.88813172,11.80850906,1.625787192,5.238819823,11.49909711,4.565586593,9.274385025,5.008178356,1.446865031,-75.17237545,3.71281242,4.845244075,2.932847758
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,198.7801467,179.9355329,219.8480573,242.9764948,361.5004214,503.2838848,394.5274158,418.6943049,95.89119367,95.98155441,90.72426163,93.73672175,0.874416982,0.931793083,0.931713071,0.914478124,49.20078901,13.47393874,5.546888548,14.674572,44.77536064,12.95228493,27.60988236,14.38773663,22.06068516,13.5180818,11.85480781,23.78766706,3.560113114,0.03271966,4.896828872,7.171283231,22.35627763,4.014988236,4.92604864,-80.95848401,3.837188421,4.906523756,2.942736961
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,270.591991,228.6011202,230.2925854,242.2264956,437.3304282,390.7348664,462.3861032,405.726919,99.21292318,109.2903617,66.47964752,109.8111204,0.969493946,0.837504851,0.908573808,0.66382185,50.3842693,26.84643228,12.5079982,12.6084912,52.51519666,10.11577447,25.76821783,28.26769246,19.39396859,27.74854352,17.32436335,7.181604911,21.77990407,0.257349839,2.156054344,3.057797783,5.804847328,1.20546922,2.963489143,-56.61219455,3.983063968,4.960395891,3.003236695
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,254.7854697,209.2602169,170.2879545,192.774843,476.074921,473.0115737,420.6090187,417.0788421,106.5794745,95.04704557,109.8318685,100.1365128,0.964838965,0.977135417,0.976447446,0.986300942,49.90873891,7.879868201,25.26884837,6.983071575,23.02351869,3.798153197,31.63989054,14.57601503,54.42497863,6.131002262,9.607721705,13.90018614,36.6412727,5.512544943,2.207312396,8.209353632,6.146019417,19.5802588,6.430608122,-35.77045494,4.047018186,5.111576387,3.105018008
E_AA_Z_B_X_P0005_D4,9/20/2025 6:06,17,V1.0,273.7068429,246.7931267,231.5684618,201.544265,467.1819695,419.9569831,300.8209936,420.5272237,102.510594,23.16447351,94.18456305,103.5777045,0.994977021,0.965192272,0.991507024,0.954883493,50.26227351,9.927328345,4.855547082,11.67797528,43.42342904,12.89215311,7.33397216,7.372804811,59.16705617,15.74959658,19.83235207,7.297224085,52.90616829,4.437769956,3.324926081,8.224567935,4.058177682,9.258805648,6.740680457,-32.63257013,4.167638822,5.275929321,3.251979587
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,234.6378559,261.56059,243.7619915,201.518423,410.0000051,386.4322207,440.2741779,421.5718396,10.8273063,95.66888148,101.9604445,26.84284478,0.806098253,0.928409203,0.915585317,0.847040066,50.44741001,1.321128809,24.46428021,1.531210418,38.12933944,16.40421888,28.4330712,11.57124516,55.66807432,1.181505676,25.5923935,8.316760013,41.0022878,4.819662656,7.046260637,4.248916624,8.350534423,15.59591294,0.385595453,-87.53517007,4.273553654,5.43056286,3.365874831
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,233.8881266,222.5937528,217.2878798,246.1356522,431.5721653,419.4441256,417.264476,442.1020883,105.5595261,98.76096202,107.1506571,34.96493608,0.932766857,0.38780473,0.876783598,0.923293807,49.67712029,20.56846719,4.781269166,24.02745011,36.093868,20.51875365,20.41992689,1.762276955,76.11141608,13.51121905,11.49433174,7.041429231,38.28445647,10.31217797,6.912329888,4.830905,17.54276826,2.715642288,4.768159993,-37.34051242,4.373814399,5.641983461,3.472220543
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,222.809082,253.6624473,222.0883124,236.1722381,431.5346374,395.3943246,408.1077578,425.1539127,90.42095564,142.3248631,74.45375978,98.88804897,0.51353919,0.990257723,0.936766985,0.81653572,50.49983578,11.67350643,15.64685376,1.371711847,14.06218708,26.76709806,9.22272844,30.24442936,24.92449084,14.72271816,27.82095248,7.642401296,0.351226295,10.38190519,0.228329744,0.883123897,1.424706907,1.736269397,6.442522561,-51.45362725,4.412876029,5.711218157,3.473196172
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,166.6620241,234.4413022,258.4222627,234.3421879,357.0301601,415.8821815,390.1275234,426.9340967,143.1860256,96.67964525,93.0140993,29.78873617,0.302787992,0.41945508,0.853294201,0.971568793,50.16253028,18.6741125,20.17438101,19.54508599,3.687892839,19.57379429,4.991229216,24.0299034,28.24348572,3.820078835,2.23925662,13.8774395,8.723294273,1.202840074,5.90181939,2.821019583,18.25445933,19.90623364,3.204451442,-89.17880965,4.423120176,5.789672284,3.497427545
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,194.4682091,234.7255643,299.6152913,256.3698317,292.4115371,374.0954512,517.532348,405.5483581,1.43648118,97.70057238,107.087481,101.8854249,0.908504177,0.953239861,0.863757791,0.85967846,49.73970232,3.65632283,16.10859156,23.89646063,18.38660676,21.05616678,16.11307517,4.939983074,66.27631309,8.134536689,16.14423796,25.85741591,5.604039498,7.365245454,2.355151285,10.93515699,27.33185909,8.564186045,7.756913873,-31.33748994,4.474194084,5.973773154,3.512994321
E_AA_Z_B_X_P0005_D4,9/20/2025 6:07,17,V1.0,206.6161285,226.0570233,190.6903406,245.9581228,376.1781359,421.0068121,395.7796601,413.0078905,103.5622579,101.3328627,90.21873271,94.28613781,0.956155637,0.935280783,0.988601706,0.92933033,49.77226579,9.37362409,14.76827316,6.918834309,51.09758931,1.870012049,5.728330545,22.1743699,65.57401164,6.177222058,13.71202152,14.32991542,45.73292107,3.063480542,4.813122589,4.371073953,18.73155597,1.931667228,6.158519118,-87.40768827,4.616131832,6.155923186,3.640030213
E_AA_Z_B_X_P0005_D4,9/20/2025 6:08,17,V1.0,243.861432,224.6483726,206.444967,236.014769,453.2500896,388.2628685,349.4666504,408.0001162,103.9290513,104.3996133,108.4867655,108.2865418,0.956084662,0.843539163,0.437854273,0.928157263,51.331546,23.31750205,5.521747871,27.82969663,65.8550686,17.06528325,16.45521667,23.70193742,57.94895078,19.04661237,16.33771821,7.493015341,8.76087472,3.694571706,13.66608182,4.229219368,4.999342857,9.999673736,1.940986442,-82.75509344,4.799062578,6.316892494,3.664365976
